accession	description
"SRR7747440"	"Illumina HiSeq 2500 sequencing; RNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028804"
"SRR7747442"	"Illumina HiSeq 2500 sequencing; RNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028812"
"SRR7747444"	"Illumina HiSeq 2500 sequencing; RNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3035354"
"SRR7747446"	"Illumina HiSeq 2500 sequencing; RNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028820"
"SRR7747448"	"Illumina HiSeq 2500 sequencing; RNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028828"
"SRR7747450"	"Illumina HiSeq 2500 sequencing; RNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028836"
"SRR7747718"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028975"
"SRR7747720"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3035390"
"SRR7747722"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028983"
"SRR7747724"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3028991"
"SRR7747405"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3035341"
"SRR7747407"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3040432"
"SRR7747408"	"Illumina HiSeq 2500 sequencing; RNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3040437"
"SRR7747411"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3040444"
"SRR7747413"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3029007"
"SRR7747415"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3035397"
"SRR7747417"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3029015"
"SRR7747419"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3029023"
"SRR7747421"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3029031"
