accession	description
"SRR11860561"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860559"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860558"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860556"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860553"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860552"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860550"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860549"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860548"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860546"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860544"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860543"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860538"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860537"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860536"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860534"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860532"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860530"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860528"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860526"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860524"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860522"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860520"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860518"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860516"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860514"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860512"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860562"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860560"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860557"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
