accession	description
"SRR11860555"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860554"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860551"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860547"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860545"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860542"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860541"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860540"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860539"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860535"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860533"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860531"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860529"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860527"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860525"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860523"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860521"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860519"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860517"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860515"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860513"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR1572149"	"Illumina HiSeq 2000 sequencing; 240N RNA-seq of spontaneous canine head and neck squamous cell carcinoma and normal samples"
"SRR1572150"	"Illumina HiSeq 2000 sequencing; 240T RNA-seq of spontaneous canine head and neck squamous cell carcinoma and normal samples"
"SRR1572151"	"Illumina HiSeq 2000 sequencing; 251T RNA-seq of spontaneous canine head and neck squamous cell carcinoma and normal samples"
"SRR1572160"	"Illumina HiSeq 2000 sequencing; 465T RNA-seq of spontaneous canine head and neck squamous cell carcinoma and normal samples"
"SRR1572162"	"Illumina HiSeq 2000 sequencing; 465N RNA-seq of spontaneous canine head and neck squamous cell carcinoma and normal samples"
"SRR1572164"	"Illumina HiSeq 2000 sequencing; 404T RNA-seq of spontaneous canine head and neck squamous cell carcinoma and normal samples"
"SRR1572159"	"Illumina HiSeq 2000 sequencing; 251N RNA-seq of spontaneous canine head and neck squamous cell carcinoma and normal samples"
"SRR1572163"	"Illumina HiSeq 2000 sequencing; 1172T RNA-seq of spontaneous canine head and neck squamous cell carcinoma and normal samples"
"SRR1572166"	"Illumina HiSeq 2000 sequencing; 419T_2 RNA-seq of spontaneous canine head and neck squamous cell carcinoma and normal samples"
"SRR1572165"	"Illumina HiSeq 2000 sequencing; 938T RNA-seq of spontaneous canine head and neck squamous cell carcinoma and normal samples"
"SRR13977550"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: head and neck squamous cell carcinoma: Sample 20-baseline_tumor-rna_d0"
"SRR13977711"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: head and neck squamous cell carcinoma: Sample 27-baseline_R7-rna"
"SRR13977721"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: head and neck squamous cell carcinoma: Sample 28-baseline_tumor-rna"
"SRR13977778"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: head and neck squamous cell carcinoma: Sample 35-baseline_tumor-rna"
"SRR13977594"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: head and neck squamous cell carcinoma: Sample 43-baseline_tumor-rna"
"SRR13977605"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: head and neck squamous cell carcinoma: Sample 46-baseline_tumor-rna"
"SRR13977610"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: head and neck squamous cell carcinoma: Sample 47-baseline_tumor-rna"
"SRR13977691"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: head and neck squamous cell carcinoma: Sample 25-baseline_tumor-rna"
"SRR13977731"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: head and neck squamous cell carcinoma: Sample 30-baseline_tumor-rna"
"SRR13977739"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: head and neck squamous cell carcinoma: Sample 31-baseline_tumor-rna"
"SRR13977646"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: head and neck squamous cell carcinoma: Sample 17-baseline_tumor-rna"
"SRR13977648"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: head and neck squamous cell carcinoma: Sample 18-baseline_tumor-rna"
"SRR13977650"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: head and neck squamous cell carcinoma: Sample 19-baseline_tumor-rna"
"SRR13977652"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: head and neck squamous cell carcinoma: Sample 20-baseline_tumor-rna"
"SRR13977653"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: head and neck squamous cell carcinoma: Sample 21-baseline_tumor-rna"
"SRR13977655"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: head and neck squamous cell carcinoma: Sample 22-baseline_tumor-rna"
"SRR13977657"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: head and neck squamous cell carcinoma: Sample 23-baseline_tumor-rna"
"SRR13977659"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: head and neck squamous cell carcinoma: Sample 24-baseline_tumor-rna"
"SRR13977660"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: head and neck squamous cell carcinoma: Sample 26-baseline_tumor-rna"
"SRR13977663"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: head and neck squamous cell carcinoma: Sample 34-baseline_tumor-rna"
"SRR13977665"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: head and neck squamous cell carcinoma: Sample 36-baseline_tumor-rna"
"SRR13977666"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: head and neck squamous cell carcinoma: Sample 37-baseline_tumor-rna"
"SRR13977668"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: head and neck squamous cell carcinoma: Sample 39-baseline_tumor-rna"
"SRR13977671"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: head and neck squamous cell carcinoma: Sample 41-baseline_tumor-rna"
"SRR13977751"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: head and neck squamous cell carcinoma: Sample 32-baseline_tumor-rna"
"SRR13977761"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: head and neck squamous cell carcinoma: Sample 33-baseline_tumor-rna"
"SRR13977577"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: head and neck squamous cell carcinoma: Sample 40-baseline_tumor-rna"
"SRR13977615"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: head and neck squamous cell carcinoma: Sample 48-baseline_tumor-rna"
"SRR13977621"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: head and neck squamous cell carcinoma: Sample 49-baseline_tumor-rna"
"SRR13977632"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: head and neck squamous cell carcinoma: Sample 51-baseline_tumor-rna"
"SRR13977548"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 20-baseline_tumor-exome"
"SRR13977557"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 21-baseline_tumor-exome"
"SRR13977678"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 23-baseline_tumor-exome"
"SRR13977684"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 24-baseline_tumor-exome"
"SRR13977690"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 25-baseline_tumor-exome"
"SRR13977698"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 26-baseline_tumor-exome"
"SRR13977730"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 30-baseline_tumor-exome"
"SRR13977738"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 31-baseline_tumor-exome"
"SRR13977517"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 17-baseline_tumor-exome"
"SRR13977760"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 33-baseline_tumor-exome"
"SRR13977772"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 34-baseline_tumor-exome"
"SRR13977799"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 39-baseline_tumor-exome"
"SRR13977576"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 40-baseline_tumor-exome"
"SRR13977609"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 47-baseline_tumor-exome"
"SRR13977620"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 49-baseline_tumor-exome"
"SRR13977631"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 51-baseline_tumor-exome"
"SRR13977637"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 52-baseline_tumor-exome"
"SRR13977542"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 19-baseline_tumor-exome"
"SRR13977549"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 20-baseline_tumor-exome_d0"
"SRR13977571"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 22-baseline_tumor-exome"
"SRR13977710"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 27-baseline_R6-exome"
"SRR13977720"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 28-baseline_tumor-exome"
"SRR13977750"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 32-baseline_tumor-exome"
"SRR13977642"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 53-baseline_tumor-exome"
"SRR13977529"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 18-baseline_tumor-exome"
"SRR13977777"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 35-baseline_tumor-exome"
"SRR13977785"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 36-baseline_tumor-exome"
"SRR13977789"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 37-baseline_tumor-exome"
"SRR13977793"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 38-baseline_tumor-exome"
"SRR13977583"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 41-baseline_tumor-exome"
"SRR13977593"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 43-baseline_tumor-exome"
"SRR13977599"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 44-baseline_tumor-exome"
"SRR13977604"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 46-baseline_tumor-exome"
"SRR13977614"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 48-baseline_tumor-exome"
"SRR13977626"	"Illumina HiSeq 4000 sequencing; Exome sequence of Homo sapiens: head and neck squamous cell carcinoma: Sample 50-baseline_tumor-exome"
"SRR13977555"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 20-posttreatment_tumor-rna"
"SRR13977696"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 25-posttreatment_tumor-rna"
"SRR13977736"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 30-posttreatment_tumor-rna"
"SRR13977748"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 31-posttreatment_tumor-rna"
"SRR13977618"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 48-posttreatment_tumor-rna"
"SRR13977629"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 50-posttreatment_tumor-rna"
"SRR13977635"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 51-posttreatment_tumor-rna"
"SRR13977547"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 19-posttreatment_tumor-rna"
"SRR13977513"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 15-posttreatment_tumor-rna"
"SRR13977726"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 28-posttreatment_tumor-rna"
"SRR13977640"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 52-posttreatment_tumor-rna"
"SRR13977645"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 53-posttreatment_tumor-rna"
"SRR13977647"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 17-posttreatment_tumor-rna"
"SRR13977649"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 18-posttreatment_tumor-rna"
"SRR13977654"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 21-posttreatment_tumor-rna"
"SRR13977656"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 22-posttreatment_tumor-rna"
"SRR13977658"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 23-posttreatment_tumor-rna"
"SRR13977661"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 26-posttreatment_tumor-rna"
"SRR13977662"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 32-posttreatment_tumor-rna"
"SRR13977664"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 34-posttreatment_tumor-rna"
"SRR13977667"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 38-posttreatment_tumor-rna"
"SRR13977669"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 39-posttreatment_tumor-rna"
"SRR13977670"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 40-posttreatment_tumor-rna"
"SRR13977672"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 41-posttreatment_tumor-rna"
"SRR13977673"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 42-posttreatment_tumor-rna"
"SRR13977484"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 12-posttreatment_tumor-rna"
"SRR13977488"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 13-posttreatment_tumor-rna"
"SRR13977505"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 14-posttreatment_tumor-rna"
"SRR13977770"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 33-posttreatment_tumor-rna"
"SRR13977783"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 35-posttreatment_tumor-rna"
"SRR13977597"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 43-posttreatment_tumor-rna"
"SRR13977602"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 44-posttreatment_tumor-rna"
"SRR13977624"	"Illumina HiSeq 4000 sequencing; RNAseq of Homo sapiens: post-treatment head and neck squamous cell carcinoma: Sample 49-posttreatment_tumor-rna"
"SRR14822054"	"Illumina HiSeq 2500 sequencing; Single cell RNA-seq of human: innate lymphoid cells from head and neck squamous cell carcinoma: Sample 7204_PRI_23_F11_P2"
"SRR14822057"	"Illumina HiSeq 2500 sequencing; Single cell RNA-seq of human: innate lymphoid cells from head and neck squamous cell carcinoma: Sample 7204_PRI_23_F2_P2"
"SRR14822058"	"Illumina HiSeq 2500 sequencing; Single cell RNA-seq of human: innate lymphoid cells from head and neck squamous cell carcinoma: Sample 7204_PRI_23_F3_P2"
"SRR14822060"	"Illumina HiSeq 2500 sequencing; Single cell RNA-seq of human: innate lymphoid cells from head and neck squamous cell carcinoma: Sample 7204_PRI_23_F5_P2"
"SRR14822062"	"Illumina HiSeq 2500 sequencing; Single cell RNA-seq of human: innate lymphoid cells from head and neck squamous cell carcinoma: Sample 7204_PRI_23_F7_P2"
"SRR14822064"	"Illumina HiSeq 2500 sequencing; Single cell RNA-seq of human: innate lymphoid cells from head and neck squamous cell carcinoma: Sample 7204_PRI_23_F9_P2"
"SRR14822066"	"Illumina HiSeq 2500 sequencing; Single cell RNA-seq of human: innate lymphoid cells from head and neck squamous cell carcinoma: Sample 7204_PRI_23_G11_P2"
"SRR14822068"	"Illumina HiSeq 2500 sequencing; Single cell RNA-seq of human: innate lymphoid cells from head and neck squamous cell carcinoma: Sample 7204_PRI_23_G1_P2"
"SRR14822070"	"Illumina HiSeq 2500 sequencing; Single cell RNA-seq of human: innate lymphoid cells from head and neck squamous cell carcinoma: Sample 7204_PRI_23_G3_P2"
"SRR14822071"	"Illumina HiSeq 2500 sequencing; Single cell RNA-seq of human: innate lymphoid cells from head and neck squamous cell carcinoma: Sample 7204_PRI_23_G4_P2"
"SRR14822073"	"Illumina HiSeq 2500 sequencing; Single cell RNA-seq of human: innate lymphoid cells from head and neck squamous cell carcinoma: Sample 7204_PRI_23_G6_P2"
"SRR14822075"	"Illumina HiSeq 2500 sequencing; Single cell RNA-seq of human: innate lymphoid cells from head and neck squamous cell carcinoma: Sample 7204_PRI_23_G8_P2"
"SRR14822077"	"Illumina HiSeq 2500 sequencing; Single cell RNA-seq of human: innate lymphoid cells from head and neck squamous cell carcinoma: Sample 7204_PRI_23_H1_P2"
"SRR14822079"	"Illumina HiSeq 2500 sequencing; Single cell RNA-seq of human: innate lymphoid cells from head and neck squamous cell carcinoma: Sample 7204_PRI_23_H3_P2"
"SRR14822081"	"Illumina HiSeq 2500 sequencing; Single cell RNA-seq of human: innate lymphoid cells from head and neck squamous cell carcinoma: Sample 7204_PRI_23_H5_P2"
"SRR14822082"	"Illumina HiSeq 2500 sequencing; Single cell RNA-seq of human: innate lymphoid cells from head and neck squamous cell carcinoma: Sample 7204_PRI_23_H6_P2"
"SRR14822083"	"Illumina HiSeq 2500 sequencing; Single cell RNA-seq of human: innate lymphoid cells from head and neck squamous cell carcinoma: Sample 7204_PRI_24_A10_P3"
"SRR14822084"	"Illumina HiSeq 2500 sequencing; Single cell RNA-seq of human: innate lymphoid cells from head and neck squamous cell carcinoma: Sample 7204_PRI_24_A11_P3"
"SRR14822087"	"Illumina HiSeq 2500 sequencing; Single cell RNA-seq of human: innate lymphoid cells from head and neck squamous cell carcinoma: Sample 7204_PRI_24_A2_P3"
"SRR14822088"	"Illumina HiSeq 2500 sequencing; Single cell RNA-seq of human: innate lymphoid cells from head and neck squamous cell carcinoma: Sample 7204_PRI_24_A3_P3"
"SRR14822090"	"Illumina HiSeq 2500 sequencing; Single cell RNA-seq of human: innate lymphoid cells from head and neck squamous cell carcinoma: Sample 7204_PRI_24_A5_P3"
"SRR14822091"	"Illumina HiSeq 2500 sequencing; Single cell RNA-seq of human: innate lymphoid cells from head and neck squamous cell carcinoma: Sample 7204_PRI_24_A6_P3"
"SRR14822093"	"Illumina HiSeq 2500 sequencing; Single cell RNA-seq of human: innate lymphoid cells from head and neck squamous cell carcinoma: Sample 7204_PRI_24_A8_P3"
"SRR14822095"	"Illumina HiSeq 2500 sequencing; Single cell RNA-seq of human: innate lymphoid cells from head and neck squamous cell carcinoma: Sample 7204_PRI_24_B10_P3"
"SRR14822097"	"Illumina HiSeq 2500 sequencing; Single cell RNA-seq of human: innate lymphoid cells from head and neck squamous cell carcinoma: Sample 7204_PRI_24_B12_P3"
"SRR14822099"	"Illumina HiSeq 2500 sequencing; Single cell RNA-seq of human: innate lymphoid cells from head and neck squamous cell carcinoma: Sample 7204_PRI_24_B2_P3"
"SRR14822100"	"Illumina HiSeq 2500 sequencing; Single cell RNA-seq of human: innate lymphoid cells from head and neck squamous cell carcinoma: Sample 7204_PRI_24_B3_P3"
"SRR14822102"	"Illumina HiSeq 2500 sequencing; Single cell RNA-seq of human: innate lymphoid cells from head and neck squamous cell carcinoma: Sample 7204_PRI_24_B5_P3"
