accession	description
"SRR6944461"	"Illumina MiniSeq sequencing; GSM3082676: SNU398 Input; Homo sapiens; ChIP-Seq"
"SRR6944460"	"Illumina MiniSeq sequencing; GSM3082675: SNU398 H3K27Ac ChIP; Homo sapiens; ChIP-Seq"
"SRR6944459"	"Illumina MiniSeq sequencing; GSM3082674: SNU398 SALL4 ChIP; Homo sapiens; ChIP-Seq"
"SRR5560470"	"Illumina HiSeq 2000 sequencing; GSM2627658: Idx34 Liver SNU398; Homo sapiens; Bisulfite-Seq"
"SRR5560420"	"Illumina HiSeq 2000 sequencing; GSM2627608: Idx14 Liver SNU398; Homo sapiens; Bisulfite-Seq"
