accession	description
"SRR3929842"	"Illumina HiSeq 2500 sequencing; Whole exome-seq of human gastric cancer cell line: SNU638"
"SRR2968703"	"Illumina HiSeq 2000 sequencing; GSM1960233: SNU638.H3K27ac; Homo sapiens; ChIP-Seq"
"SRR2968704"	"Illumina HiSeq 2000 sequencing; GSM1960234: SNU638.input; Homo sapiens; ChIP-Seq"
"SRR5560488"	"Illumina HiSeq 2000 sequencing; GSM2627676: Idx85 Stomach SNU638; Homo sapiens; Bisulfite-Seq"
"SRR5560438"	"Illumina HiSeq 2000 sequencing; GSM2627626: Idx60 Stomach SNU638; Homo sapiens; Bisulfite-Seq"
"SRR3929872"	"Illumina HiSeq 2500 sequencing; RNA-seq of human gastric cancer cell line: SNU638"
