accession	description
"SRR8421144"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B2WK8_20170724"
"SRR8421143"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B3WK8_20170724"
"SRR8421142"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BL1WK8_20170724"
"SRR8421141"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BL2WK8_20170724"
"SRR8421140"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y1WK4_20170724"
"SRR8421139"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y2WK4_20170724"
"SRR8421138"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G2WK10_20170724"
"SRR8421127"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G1WK4_20170724"
"SRR8421126"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y3WK4_20170724"
"SRR8421125"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G3WK4_20170724"
"SRR8421124"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G2WK4_20170724"
"SRR8421123"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B2WK4_20170724"
"SRR8421122"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B1WK4_20170724"
"SRR8421121"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BL1WK4_20170724"
"SRR8421120"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B3WK4_20170724"
"SRR8421119"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BL3WK4_20170724"
"SRR8421118"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BL2WK4_20170724"
"SRR8421107"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R1WK1_20170724"
"SRR8421106"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R3WK6_20170724"
"SRR8421105"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y1WK6_20170724"
"SRR8421104"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R1WK6_20170724"
"SRR8421103"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R2WK6_20170724"
"SRR8421102"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G1WK6_20170724"
"SRR8421101"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G2WK6_20170724"
"SRR8421100"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y2WK6_20170724"
"SRR8421099"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y3WK6_20170724"
"SRR8421098"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G3WK6_20170724"
"SRR8421097"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B1WK6_20170724"
"SRR8421084"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y2WK10_20170724"
"SRR8421083"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y1WK10_20170724"
"SRR8421082"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R3WK10_20170724"
"SRR8421081"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R2WK10_20170724"
"SRR8421080"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R1WK10_20170724"
"SRR8421079"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BL3WK6_20170724"
"SRR8421078"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BL2WK6_20170724"
